"TID","RID","t_transitE","r_transitE","t_transitM","r_transitM","t_transitCV","r_transitCV"
"g37119001912",8,0.14701754385964913,0.09563109300046423,0.05632782567236986,0.01861039147303249,0.23290988555216008,0.11830156418150548
"g37119001603",8,0.08055555555555556,0.09563109300046423,0.03962306972359647,0.01861039147303249,0.29901069280986753,0.11830156418150548
"g37071033305",9,0.014438751746623195,0.015446948594580907,0.018533182655527065,0.013376841245515402,0.7802871489639496,0.5264352591413655
"g37071033304",9,0.016648168701442843,0.015446948594580907,0.019280584374761392,0.013376841245515402,0.7040245804117533,0.5264352591413655
"g37025042200",10,0.0,0.001520290024558531,0.0060810810810810806,0.003412819330258507,"inf",1.3646489639018233
"g37025040500",10,0.0023251654444643175,0.001520290024558531,0.004105161819803188,0.003412819330258507,1.0732737776254209,1.3646489639018233
"g37119004400",11,0.07086197778952935,0.03233281836239241,0.06030707968034321,0.016914107736029534,0.5173555671892619,0.3180091585918642
"g37119004000",11,0.04383886255924171,0.03233281836239241,0.034334415381372184,0.016914107736029534,0.4761069018627803,0.3180091585918642
"g37119006010",11,0.010509031198686371,0.03233281836239241,0.015387801259201212,0.016914107736029534,0.8901188228394318,0.3180091585918642
"g37119004303",11,0.0,0.03233281836239241,0.012333965844402276,0.016914107736029534,"inf",0.3180091585918642
"g37119004304",11,0.03829479768786127,0.03233281836239241,0.047335922079231235,0.016914107736029534,0.7514241688094974,0.3180091585918642
"g37159050903",12,0.0,0.0007187780772686433,0.007228915662650603,0.003408722934162528,"inf",2.882909290062989
"g37159051001",12,0.0013008130081300813,0.0007187780772686433,0.0019434957035026532,0.003408722934162528,0.9082445726855105,2.882909290062989
"g37119001509",13,0.024337866857551897,0.027220299884659745,0.027683060785140618,0.014370289363150605,0.6914578207910145,0.32092733186985667
"g37119001505",13,0.021361815754339118,0.027220299884659745,0.018447817437692263,0.014370289363150605,0.5249777834662426,0.32092733186985667
"g37119001400",13,0.03611111111111111,0.027220299884659745,0.027860964848126103,0.014370289363150605,0.46901787913609533,0.32092733186985667
"g37119005828",14,0.04046535154274153,0.04046535154274153,0.034747380158165135,0.034747380158165135,0.5220028159019184,0.5220028159019184
"g37097061405",15,0.0,0.015601560156015602,0.009737827715355805,0.014244728365967973,"inf",0.5550348333384528
"g37119006204",15,0.027043090638930165,0.015601560156015602,0.027209763503250047,0.014244728365967973,0.6116493816656295,0.5550348333384528
"g37097061406",15,0.006612410986775178,0.015601560156015602,0.010644336096632612,0.014244728365967973,0.9785721190544642,0.5550348333384528
"g37179020314",16,0.011191335740072202,0.011191335740072202,0.012596864221132716,0.012596864221132716,0.6842497086486445,0.6842497086486445
"g37119005519",17,0.018316445830085737,0.018316445830085737,0.017455233800360678,0.017455233800360678,0.5793200534401538,0.5793200534401538
"g37071031201",18,0.0,0.006704980842911878,0.008387096774193548,0.008476659262622836,"inf",0.7685308093945498
"g37119006005",18,0.006872852233676976,0.006704980842911878,0.01302522121698632,0.008476659262622836,1.1520788371255377,0.7685308093945498
"g37119006009",18,0.015371477369769428,0.006704980842911878,0.022893414307929925,0.008476659262622836,0.9053761619245506,0.7685308093945498
"g37119001510",19,0.02574750830564784,0.04639983279339534,0.04042233143504856,0.01653766084323815,0.954377626194695,0.2166664977257672
"g37119005616",19,0.004689331770222743,0.04639983279339534,0.008166443148414543,0.01653766084323815,1.0586589674160496,0.2166664977257672
"g37119001504",19,0.07613093048915043,0.04639983279339534,0.03541736227856229,0.01653766084323815,0.28280636105725404,0.2166664977257672
"g37119001608",19,0.03773584905660377,0.04639983279339534,0.03557501420719729,0.01653766084323815,0.5730929340369169,0.2166664977257672
"g37119001507",19,0.04203821656050955,0.04639983279339534,0.04546383990356391,0.01653766084323815,0.6574397038647448,0.2166664977257672
"g37119001609",19,0.047151277013752456,0.04639983279339534,0.04264985419760194,0.01653766084323815,0.549867674432102,0.2166664977257672
