"TID","RID","t_occupiedE","r_occupiedE","t_occupiedM","r_occupiedM","t_occupiedCV","r_occupiedCV"
"g37179020401",4,0.9473225946887244,0.9143821603927987,0.03966321354171616,0.02604113050591131,0.025452128080111863,0.01731275516669986
"g37179020312",4,0.8602723505032563,0.9143821603927987,0.08105419068157732,0.02604113050591131,0.057276122166771234,0.01731275516669986
"g37179020306",4,0.957553628480146,0.9143821603927987,0.030981320600463748,0.02604113050591131,0.019668485382117018,0.01731275516669986
"g37179020313",4,1.0,0.9143821603927987,0.08196010418298619,0.02604113050591131,0.049823771539809235,0.01731275516669986
"g37071030301",5,0.8928571428571429,0.8638659175557099,0.06405120711840276,0.010804858927512637,0.043609332506146556,0.0076033828467091885
"g37109070600",5,0.9140111279716743,0.8638659175557099,0.043180985332582106,0.010804858927512637,0.0287193867827462,0.0076033828467091885
"g37109070901",5,0.8293620292083013,0.8638659175557099,0.06482725872996688,0.010804858927512637,0.04751684612155627,0.0076033828467091885
"g45091061900",5,0.8682877406281662,0.8638659175557099,0.029401784848631755,0.010804858927512637,0.02058468017407124,0.0076033828467091885
"g45023020601",5,0.8344947735191638,0.8638659175557099,0.04658493382712663,0.010804858927512637,0.03393563340136262,0.0076033828467091885
"g37109070700",5,0.8762589928057554,0.8638659175557099,0.04382785120242131,0.010804858927512637,0.03040547470384238,0.0076033828467091885
"g37071033400",5,0.8584437086092715,0.8638659175557099,0.048984797327011845,0.010804858927512637,0.034688345895501876,0.0076033828467091885
"g37071030502",5,0.8268765133171913,0.8638659175557099,0.06452293118770977,0.010804858927512637,0.04743594205881283,0.0076033828467091885
"g45091061701",5,0.8376764386536374,0.8638659175557099,0.0385017533139321,0.010804858927512637,0.027940765770018507,0.0076033828467091885
"g37071031701",5,0.8001332445036642,0.8638659175557099,0.03746513700017806,0.010804858927512637,0.028464208214161592,0.0076033828467091885
"g37071030801",5,0.7948717948717948,0.8638659175557099,0.14010617645987156,0.010804858927512637,0.10715052224600433,0.0076033828467091885
"g37071031600",5,0.95856524427953,0.8638659175557099,0.030069926160342774,0.010804858927512637,0.019069740406421908,0.0076033828467091885
"g37071030401",5,0.8830860534124629,0.8638659175557099,0.05721333468142014,0.010804858927512637,0.03938477176610163,0.0076033828467091885
"g37109070500",5,0.9103682170542635,0.8638659175557099,0.028220740629368524,0.010804858927512637,0.0188445346693875,0.0076033828467091885
"g37071030602",5,0.8445262189512419,0.8638659175557099,0.05045221273828378,0.010804858927512637,0.0363162652035378,0.0076033828467091885
"g37071031703",5,0.8423236514522822,0.8638659175557099,0.07493994998703561,0.010804858927512637,0.05408396228869565,0.0076033828467091885
"g45023020500",5,0.7732712765957447,0.8638659175557099,0.043204508441180414,0.010804858927512637,0.03396497408470147,0.0076033828467091885
"g37071030501",5,0.8793264733395697,0.8638659175557099,0.07454286421999802,0.010804858927512637,0.05153354578747842,0.0076033828467091885
"g37071030700",5,0.852448021462106,0.8638659175557099,0.04162584072130961,0.010804858927512637,0.02968446381183838,0.0076033828467091885
"g37071030205",5,0.8197217180883243,0.8638659175557099,0.06059383913751349,0.010804858927512637,0.04493617743326408,0.0076033828467091885
"g37109070800",5,0.9258241758241759,0.8638659175557099,0.028296059284827813,0.010804858927512637,0.018579393684084174,0.0076033828467091885
"g37119000700",6,0.7605985037406484,0.8282138794084186,0.1074337014216444,0.03158342687186296,0.08586559224690699,0.023181996910691356
"g37119000600",6,0.8121794871794872,0.8282138794084186,0.06393660572884491,0.03158342687186296,0.047855477931498455,0.023181996910691356
"g37119000500",6,0.8471243042671615,0.8282138794084186,0.0558486925092826,0.03158342687186296,0.040077439382808736,0.023181996910691356
"g37119000400",6,0.796844181459566,0.8282138794084186,0.07616217733456201,0.03158342687186296,0.05810319887541446,0.023181996910691356
"g37119000800",6,0.8853801169590644,0.8282138794084186,0.03819701156981339,0.03158342687186296,0.02622610038199937,0.023181996910691356
"g45057011201",7,0.9195931218212642,0.9468921590160334,0.049661580669925834,0.014756860254507538,0.03282909585252856,0.009473872638620045
"g45091061007",7,0.9618852459016394,0.9468921590160334,0.03842182586196514,0.014756860254507538,0.024282244837733724,0.009473872638620045
"g45091061008",7,0.9627659574468085,0.9468921590160334,0.12051410052117541,0.014756860254507538,0.07609414397548567,0.009473872638620045
"g37119005843",7,0.9551641313050441,0.9468921590160334,0.07598269700474791,0.014756860254507538,0.04835827461556656,0.009473872638620045
"g37119005836",7,0.9742698191933241,0.9468921590160334,0.020185688571493058,0.014756860254507538,0.012595007112074534,0.009473872638620045
