"TID","RID","t_drvloneE","r_drvloneE","t_drvloneM","r_drvloneM","t_drvloneCV","r_drvloneCV"
"g37159051502",35,0.8415178571428571,0.8192011212333566,0.10714509276032894,0.0612357552338289,0.07740037176659012,0.04544107931007659
"g37159051600",35,0.8089887640449438,0.8192011212333566,0.07573151118801867,0.0612357552338289,0.05690733279072663,0.04544107931007659
"g45091061101",36,0.8227848101265823,0.8331438317225697,0.05017413465129267,0.04785360354746717,0.037070438507852424,0.034916343847704805
"g45091061104",36,0.8423883808499193,0.8331438317225697,0.07871748643659729,0.04785360354746717,0.05680583496785195,0.034916343847704805
"g37179020315",37,0.6942909760589319,0.7684587813620072,0.06834424632818834,0.058913042068369136,0.05984040659535167,0.046604190494360424
"g37179020316",37,0.8484848484848485,0.7684587813620072,0.09323904186048813,0.058913042068369136,0.06680174514537796,0.046604190494360424
"g37159051501",38,0.7872619829284307,0.79738933030647,0.04373583531568376,0.04368168812076749,0.03377164718612337,0.0333014459729331
"g37025041000",38,0.7734481196193929,0.79738933030647,0.09470022813372138,0.04368168812076749,0.07443101389811774,0.0333014459729331
"g37025040800",38,0.8412596401028277,0.79738933030647,0.04730042006021274,0.04368168812076749,0.03417976255741338,0.0333014459729331
"g37119005844",39,0.7366116537554732,0.746431718061674,0.06605001967428242,0.060341712053053914,0.054509031236790066,0.049142997193125496
"g37179021006",39,0.7572062084257206,0.746431718061674,0.10314194585081855,0.060341712053053914,0.08280475032592516,0.049142997193125496
"g45057010300",40,0.8021023765996343,0.8069477592150623,0.02783004254765885,0.11014134275025687,0.02109201953403738,0.08297343017782975
"g45023021000",40,0.746031746031746,0.8069477592150623,0.08238812571036462,0.11014134275025687,0.06713382810260585,0.08297343017782975
"g45023020900",40,0.8513779527559056,0.8069477592150623,0.20226749192205196,0.11014134275025687,0.144423474036091,0.08297343017782975
"g37119006203",41,0.7950018109380659,0.8282777638505892,0.0629150275112765,0.049511891220959114,0.04810833988787294,0.0363385514252607
"g37119006208",41,0.9030944625407166,0.8282777638505892,0.08081130720856586,0.049511891220959114,0.05439676219279061,0.0363385514252607
"g37119006210",42,0.8035457594633445,0.8035457594633445,0.0796338440889596,0.0796338440889596,0.060245021636791234,0.060245021636791234
"g37097061602",43,0.824853228962818,0.8783810079782058,0.06374483521721433,0.036098127320944536,0.0469788543535665,0.024982496374310516
"g37097061503",43,0.9575494452484322,0.8783810079782058,0.0030429404321805358,0.036098127320944536,0.001931818583421329,0.024982496374310516
"g37097061302",44,0.8423707440100883,0.851204128440367,0.08752678630330654,0.05342209378043133,0.06316431714551635,0.038152348964864795
"g37097061301",44,0.9199549041713642,0.851204128440367,0.06697390763376615,0.05342209378043133,0.044256105899599635,0.038152348964864795
"g37097060701",44,0.8049261083743843,0.851204128440367,0.09242941974533067,0.05342209378043133,0.0698052858828248,0.038152348964864795
"g37179021007",45,0.783492326835338,0.7882441597588545,0.0790650019932414,0.05485501044662432,0.06134563077735443,0.04230479921348688
"g37119005838",45,0.792198826372109,0.7882441597588545,0.07562459218777273,0.05485501044662432,0.05803138673817871,0.04230479921348688
"g37159051801",46,0.8382279741164759,0.8466554480437526,0.07401239646307466,0.032435218643599543,0.05367553895209588,0.02328864497070698
"g37025041200",46,0.852823315118397,0.8466554480437526,0.01625451297438807,0.032435218643599543,0.011586412715501065,0.02328864497070698
"g37119005715",47,0.8424460431654677,0.8194701170671596,0.10990361304509805,0.06540873684361606,0.07930562148200887,0.04852178161080004
"g37179020203",47,0.8022629310344828,0.8194701170671596,0.07840259299142455,0.06540873684361606,0.05940839207566081,0.04852178161080004
"g45091061401",48,0.8438337801608579,0.8438337801608579,0.03407374590727297,0.03407374590727297,0.024546923617987583,0.024546923617987583
"g37097061304",49,0.8613861386138614,0.8185766789174741,0.015350234527420193,0.03506228616790209,0.010833062133734686,0.02603843992321344
"g37097061402",49,0.7165461121157324,0.8185766789174741,0.0626166771400675,0.03506228616790209,0.05312267931072241,0.02603843992321344
"g37097061403",49,0.9027061855670103,0.8185766789174741,0.08251518277087218,0.03506228616790209,0.0555675879193514,0.02603843992321344
"g37119003204",50,0.8286358511837655,0.8077561177934467,0.03743114102137163,0.028649970802290134,0.02746018409607066,0.02156145306837041
"g37119003400",50,0.7887958789439794,0.8077561177934467,0.06168874745891516,0.028649970802290134,0.04754177770793139,0.02156145306837041
"g37119003300",50,0.8481501932633904,0.8077561177934467,0.13528137227696724,0.028649970802290134,0.09696150154888063,0.02156145306837041
"g37119003103",50,0.7903826616999662,0.8077561177934467,0.0686360363713422,0.028649970802290134,0.05278966289386016,0.02156145306837041
"g37119004100",51,0.7512274959083469,0.6465052743416559,0.0993162407916795,0.03445488411325152,0.08036795084294016,0.032397598499496756
"g37119005100",51,0.5828025477707006,0.6465052743416559,0.1837277080719931,0.03445488411325152,0.19164050802931828,0.032397598499496756
"g37119004305",51,0.6949331456720619,0.6465052743416559,0.07171944135543955,0.03445488411325152,0.06273760989024177,0.032397598499496756
"g37119004800",51,0.6269430051813472,0.6465052743416559,0.1001054634105482,0.03445488411325152,0.09706525880195836,0.032397598499496756
"g37119004600",51,0.5385474860335195,0.6465052743416559,0.10117838271827673,0.03445488411325152,0.11420834230833744,0.032397598499496756
"g37119004200",51,0.5241855873642646,0.6465052743416559,0.09558681544314215,0.03445488411325152,0.11085288873308147,0.032397598499496756
