"TID","RID","t_avghmvalE","r_avghmvalE","t_avghmvalM","r_avghmvalM","t_avghmvalCV","r_avghmvalCV"
"g37119005840",74,267273.99380804953,337719.8886519782,66006.73522965114,19034.744769793117,0.1501293647763554,0.03426293151544846
"g37179021012",10,354532.4457593688,434605.45864661655,64860.01057266512,40396.405654060356,0.11121288989861529,0.056504319067827796
"g37119006209",19,216581.57894736843,237521.0571004033,64572.11734697373,25479.394453668876,0.18124148400365503,0.06521103340454172
"g37097061402",35,322414.1406816534,389924.5338799322,63387.402703870765,18053.556012007288,0.11951515346816022,0.028145974753427658
"g37109071203",35,492600.9084556254,389924.5338799322,63272.31250168156,18053.556012007288,0.07808229987986398,0.028145974753427658
"g37097061403",17,257967.64705882352,209080.13750954927,63211.62154261326,25828.402059786426,0.1489586701789848,0.07509635517926831
"g37119003016",0,364689.0380313199,265925.935100322,62968.9250679691,21297.852335952863,0.1049633463371309,0.04868657392045475
"g37119006009",46,191834.14304993252,129664.34724983433,62371.25493076137,15585.203780375194,0.19764811357379167,0.07306779553003334
"g37119003007",81,568948.6271036315,540915.2451481103,62151.531702126544,46243.29194511815,0.06640685000585918,0.05197010793649669
"g37119005841",74,446108.8326127239,337719.8886519782,61812.97822129482,19034.744769793117,0.08423119159938117,0.03426293151544846
"g37179021008",10,450267.53846153844,434605.45864661655,60900.41831340826,40396.405654060356,0.08222118568907726,0.056504319067827796
"g37119005834",63,219413.10824230386,340390.66147859924,60679.72315425425,28846.352272362485,0.16811834987497226,0.051516620289143
"g37179021011",10,384699.0885416667,434605.45864661655,60514.09622933159,40396.405654060356,0.0956245692635874,0.056504319067827796
"g37071032302",18,170931.5120711563,138098.33863556027,60367.58795491098,15490.440540966794,0.21469196295304555,0.06818822929339884
"g37119001400",2,228763.8691322902,287578.95870736084,60053.140554943464,38628.31840345732,0.15958144334998536,0.08165500192776301
"g37119003108",45,173674.1935483871,214845.92703648176,59889.47523042386,32687.494157392408,0.2096280113937744,0.09248868429133274
"g45091061008",7,271412.23103057756,248748.89682585403,59605.4798666912,15519.489053538315,0.13350295278838625,0.03792716257463497
"g37119000700",6,103583.96946564886,245008.2085080887,59396.40068717438,47884.256184936516,0.34857936654245014,0.1188081432146318
"g37119005812",37,240525.13089005236,181483.76264949402,59232.18352429608,27697.031782507456,0.14970330237220783,0.09277469863825015
"g37159051204",94,205543.21148825064,166947.09158415842,59209.00748264978,32877.534575563666,0.1751131421856253,0.1197166300854928
"g37119003300",80,248452.72459499264,242939.1771019678,59208.53717196017,45952.91121402942,0.14486873417931,0.1149872193003084
"g37179020404",4,109599.27272727272,169713.50233728875,58932.34216641266,18489.834086142364,0.32687381151883854,0.06622938402815329
"g37119002002",79,379415.98599766626,359019.96383363474,58861.28751324902,45606.95589824492,0.09430793382080588,0.07722298491473288
"g37119006303",19,292216.0714285714,237521.0571004033,58449.01853222166,25479.394453668876,0.12159262179854091,0.06521103340454172
"g37119001801",89,142942.58373205742,146356.82158920538,58040.18750106773,27733.622084216066,0.2468318945499491,0.1151934330698099
"g37109070400",43,169012.28985507245,178649.7228870135,57871.199699058845,11163.733362276254,0.20815090214739654,0.03798754311143287
"g37119003008",84,304325.42262678803,346946.8023255814,57454.28609360899,25393.323784532004,0.11476733486349919,0.04449290464752696
"g37071033100",69,124708.57142857143,116397.17791411043,57130.0200917053,18478.32329615359,0.27848523239935585,0.09650597618977828
"g37071032505",39,144886.0197368421,140700.90692124105,56983.956941281096,24449.014152654472,0.23908934326919815,0.10563274189497449
"g37097061601",17,136414.92537313432,209080.13750954927,56923.234790762224,25828.402059786426,0.2536657191411323,0.07509635517926831
"g37119005816",74,422286.5040650407,337719.8886519782,56875.74029990022,19034.744769793117,0.0818754987019799,0.03426293151544846
"g45057011100",64,173800.32930845226,134389.23400105035,56751.932285089,11098.192841570228,0.1985016658013593,0.05020210017817244
"g45091061103",32,276604.45859872614,190766.25570776255,56547.164496736346,22524.52538050824,0.12427556721248119,0.07177747733870558
"g45057011202",22,275583.56462585035,220101.10255773528,56297.23669443628,14556.601997542422,0.1241846342963533,0.04020424283188959
"g37119003902",91,103680.31358885017,78305.92105263157,56217.611493374636,0.0,0.3296174426046179,0.0
"g37119001200",88,255656.08820709493,194370.6598034628,56128.292633676836,31381.850796559913,0.13346266413501,0.09814811024218771
"g37119000800",6,115397.20670391062,245008.2085080887,56113.28359658,47884.256184936516,0.29560003724586426,0.1188081432146318
"g37071031900",26,104768.32740213523,93151.86408683342,56082.69449411532,15418.589779340398,0.32541154608509265,0.10062066924003651
"g37097061405",35,342737.7819548872,389924.5338799322,55898.828310282275,18053.556012007288,0.09914591397169409,0.028145974753427658
"g37119005906",48,187946.94357366773,171498.6346396966,55818.251844024315,18837.577581738842,0.18054067464517354,0.06677263039070074
"g37119001607",89,129373.07692307692,146356.82158920538,55744.264453902135,27733.622084216066,0.2619330981328105,0.1151934330698099
"g37071032702",55,271229.490022173,168146.43246187363,55695.828031197896,26495.049376315183,0.12483025432376593,0.09578801499920331
"g37119005307",90,95012.1359223301,89333.89232127096,55655.44577665514,0.0,0.3560923813377497,0.0
"g37119004900",92,94772.72727272728,94296.61908339594,55374.27408809289,18063.051736099194,0.35518839297574756,0.11644721379954256
"g37119005847",74,366782.21083455347,337719.8886519782,55121.14946539165,19034.744769793117,0.0913574774281115,0.03426293151544846
"g37025041100",52,192684.99226405364,208236.95740365112,55002.27853617764,34107.904289346145,0.17352693217789428,0.09957064576966118
"g45091061006",27,292534.4325897187,278176.98995783157,54876.09841366991,20217.465259313994,0.11403556855627707,0.04418141284487982
"g37119005838",7,256763.31967213115,248748.89682585403,54445.21421293074,15519.489053538315,0.12890234750267143,0.03792716257463497
"g37119003011",38,399682.50123578846,335366.18217054266,54113.385535004534,45747.0236916144,0.0823045166990204,0.08292350965734585
"g37097061201",76,216940.2489626556,179133.94991820812,53875.13926564983,18895.242386946946,0.1509671197253338,0.06412223669149617
"g37119003600",70,127369.74789915966,156333.65300784656,53853.95295217469,0.0,0.25703093442871555,0.0
"g37119005908",27,795165.5660377359,278176.98995783157,533812.092692627,20217.465259313994,0.4080984455112702,0.04418141284487982
"g37109071002",43,180319.06614785994,178649.7228870135,53264.14142086174,11163.733362276254,0.17956735229855716,0.03798754311143287
"g37025041502",11,249983.05177111717,213622.03894332136,52913.20379742692,9102.921853819611,0.12867304846439304,0.02590412077292777
"g37119004100",70,183725.54179566563,156333.65300784656,52464.30131584752,0.0,0.1735914994592299,0.0
"g37119002100",71,213281.59292035399,443398.0459770115,52247.53321708929,68152.38111470749,0.14891776610516946,0.09343753156021753
"g37119003018",84,242300.78125,346946.8023255814,52032.815914258405,25393.323784532004,0.1305439089800202,0.04449290464752696
"g37119005615",11,202214.93902439025,213622.03894332136,51821.19599647126,9102.921853819611,0.1557859521079491,0.02590412077292777
"g37097061203",17,240314.8598130841,209080.13750954927,51684.971810067116,25828.402059786426,0.13074279208218162,0.07509635517926831
"g37025042504",11,289094.7368421053,213622.03894332136,51167.66677442888,9102.921853819611,0.10759436489327931,0.02590412077292777
"g37025042401",66,239301.13402061857,183747.37978327126,51055.18913437325,9182.186732882843,0.12969679089261008,0.03037799200155787
"g37119005706",11,209591.34790528234,213622.03894332136,50912.18394383651,9102.921853819611,0.14766666755202307,0.02590412077292777
"g45091061801",50,110067.11538461539,145672.0638336023,50711.042932530676,16228.215915929855,0.280078037969659,0.06772181699751527
"g37119005712",16,224628.74149659864,261622.5780448483,50357.188485077066,12832.051710119711,0.13627941122471515,0.029816384334082877
"g37179020602",54,201605.75793184488,177658.99424568427,50152.26770978596,23698.67816255215,0.1512243551384029,0.08109069481899421
"g37119005713",16,278167.69662921346,261622.5780448483,50077.68188399346,12832.051710119711,0.10943887509870429,0.029816384334082877
"g37025042101",3,102487.14285714286,132592.64870931537,49912.811594069026,22925.138778666555,0.29605796260643874,0.10510578612280104
"g37025042503",11,232174.01285583104,213622.03894332136,49888.88817438711,9102.921853819611,0.13062440202644077,0.02590412077292777
"g37025041701",66,216480.42142230025,183747.37978327126,49841.893540757585,9182.186732882843,0.1399619569749728,0.03037799200155787
"g45091061601",50,176049.6644295302,145672.0638336023,49536.042355360354,16228.215915929855,0.17104886711560757,0.06772181699751527
"g37159052000",40,126692.22462203023,150331.71447933136,49363.14655328204,16912.649116184373,0.2368574071157745,0.06839039718892784
"g45091061104",22,242485.42510121458,220101.10255773528,49334.45485254997,14556.601997542422,0.12367980487826107,0.04020424283188959
"g37071031202",18,113803.82775119618,138098.33863556027,49307.03605468331,15490.440540966794,0.2633820205559508,0.06818822929339884
"g37119005715",11,218480.12738853504,213622.03894332136,49274.17890667337,9102.921853819611,0.13710129387047068,0.02590412077292777
"g37071030902",61,121666.1316211878,154219.56724782067,49240.706162317896,28890.075886608833,0.24603034203711052,0.11387890963181535
"g37071031201",18,154356.97940503433,138098.33863556027,49119.39683737631,15490.440540966794,0.1934464889226633,0.06818822929339884
"g37025041902",3,144037.30017761988,132592.64870931537,49013.53190155214,22925.138778666555,0.20685933494852907,0.10510578612280104
"g37071032502",27,283968.54034451494,278176.98995783157,48902.643589325766,20217.465259313994,0.10468783189191759,0.04418141284487982
"g37119005714",16,278257.70392749243,261622.5780448483,48842.48266200726,12832.051710119711,0.10670496594633667,0.029816384334082877
"g37071032508",27,232314.89841986456,278176.98995783157,48743.75643446816,20217.465259313994,0.12754869825241671,0.04418141284487982
"g37159050500",40,219113.62275449102,150331.71447933136,48736.521548280645,16912.649116184373,0.13521324871793727,0.06839039718892784
"g37119003204",38,285129.01744719927,335366.18217054266,48370.41106315381,45747.0236916144,0.10312701761759414,0.08292350965734585
"g37097060200",76,91602.7950310559,179133.94991820812,48281.242360895376,18895.242386946946,0.3204083379506555,0.06412223669149617
"g37119005515",86,188205.14705882352,170101.72674293115,48159.94020768776,0.0,0.1555566351626945,0.0
