"TID","RID","t_chabvpovE","r_chabvpovE","t_chabvpovM","r_chabvpovM","t_chabvpovCV","r_chabvpovCV","min"
"g45019003600",14,0.39951573849878935,0.541592014333248,0.1768931316235499,0.07210477991832466,0.26916040659676194,0.08093304886230672,0.22262260687523946
"g45019003400",14,0.5321821036106751,0.541592014333248,0.14493401378923257,0.07210477991832466,0.16555570520078028,0.08093304886230672,0.38724808982144254
"g45015020714",15,0.6547543075941289,0.7772332222440045,0.2246294874847266,0.031027163199391094,0.2085559092107139,0.02426748734593682,0.4301248201094023
"g45019002614",17,0.7948164146868251,0.8565169769989047,0.5111740723992547,0.14866399008968123,0.39096338628395483,0.1055124985050249,0.28364234228757035
"g45019003113",18,0.573170731707317,0.6281067812212335,0.22975775029715462,0.0940982798863093,0.2436802111410034,0.09107146024339333,0.3434129814101624
"g45019003115",18,0.538992408557626,0.6281067812212335,0.13498171938003697,0.0940982798863093,0.1522391691593846,0.09107146024339333,0.404010689177589
"g45019003800",19,0.5880398671096345,0.32813525935653315,0.14724879201892196,0.05984319896855235,0.15222257619458215,0.1108653926101108,0.4407910750907126
"g45019004300",19,0.3371794871794872,0.32813525935653315,0.1353603969177179,0.05984319896855235,0.24404199751712172,0.1108653926101108,0.2018190902617693
"g45019003700",19,0.188422247446084,0.32813525935653315,0.10825939705119336,0.05984319896855235,0.34927501667008953,0.1108653926101108,0.08016285039489063
"g45019005500",19,0.6033057851239669,0.32813525935653315,0.46010739573007187,0.05984319896855235,0.46361323132230253,0.1108653926101108,0.14319838939389506
"g45019005400",19,0.3051702395964691,0.32813525935653315,0.19911744802006892,0.05984319896855235,0.3966443173149656,0.1108653926101108,0.10605279157640018
"g45019004000",19,0.28277356446370533,0.32813525935653315,0.13710506287808488,0.05984319896855235,0.2947465861637433,0.1108653926101108,0.14566850158562045
"g45019005300",19,0.20982514571190675,0.32813525935653315,0.10834697072609524,0.05984319896855235,0.31390146148029235,0.1108653926101108,0.1014781749858115
"g45019001000",19,0.2620967741935484,0.32813525935653315,0.2604275511853679,0.05984319896855235,0.6040311685197217,0.1108653926101108,0.0016692230081804538
"g45019003105",20,0.3614895549500454,0.4472196041470311,0.11833590328471622,0.0752172591026748,0.19900082405411945,0.10224233720081347,0.2431536516653292
"g45015021000",20,0.6422018348623854,0.4472196041470311,0.1595824383914896,0.0752172591026748,0.15105936417431493,0.10224233720081347,0.48261939647089575
"g45019003104",20,0.31874145006839943,0.4472196041470311,0.16341103507657473,0.0752172591026748,0.3116570349504315,0.10224233720081347,0.1553304149918247
"g45015020811",21,0.67098703888335,0.729300941993059,0.18126597329281885,0.07593747715474522,0.16422385924540328,0.06329705261029182,0.48972106559053113
