"TID","RID","t_vehiclppE","r_vehiclppE","t_vehiclppM","r_vehiclppM","t_vehiclppCV","r_vehiclppCV"
"g37109070901",20,0.8519497686715135,0.8816669258280205,0.13837085357401632,0.09163170938246899,0.09873354451507459,0.06317937666260949
"g37109070202",20,0.9080763582966226,0.8816669258280205,0.12164854828052866,0.09163170938246899,0.08143641732467749,0.06317937666260949
"g45023020400",21,0.713384723195515,0.65140625,0.09826988898622228,0.07620098010223908,0.08373957613016715,0.07111197391286973
"g45023020300",21,0.6015228426395939,0.65140625,0.11157690671529473,0.07620098010223908,0.11276031766336071,0.07111197391286973
"g37071031500",22,0.5616167326172979,0.5966487133453022,0.10100960994786257,0.0534754735092218,0.10933438168629152,0.05448413095451072
"g37071031800",22,0.5329400196656834,0.5966487133453022,0.09155332095692184,0.0534754735092218,0.10443110332461053,0.05448413095451072
"g37071030802",22,0.6902957712050843,0.5966487133453022,0.0822675881192202,0.0534754735092218,0.07244820836506236,0.05448413095451072
"g37119005711",23,0.8178368121442126,0.8178368121442126,0.09722933280793028,0.09722933280793028,0.07227111388624638,0.07227111388624638
"g37119001200",24,0.5755803326631329,0.4805710078534031,0.08026997556108581,0.033928062947159804,0.08477763217052559,0.04291761662867579
"g37119002300",24,0.26557632398753894,0.4805710078534031,0.06434237801046858,0.033928062947159804,0.14727934711146662,0.04291761662867579
"g37119001300",24,0.5471163748712667,0.4805710078534031,0.09665497316749978,0.033928062947159804,0.10739364656751486,0.04291761662867579
"g37119000900",24,0.6008010680907877,0.4805710078534031,0.145058832080671,0.033928062947159804,0.14677347548587988,0.04291761662867579
"g37119000800",24,0.38748060010346613,0.4805710078534031,0.0930327449726089,0.033928062947159804,0.14595533337828592,0.04291761662867579
"g37119000700",24,0.5213793103448275,0.4805710078534031,0.21701313287000826,0.033928062947159804,0.2530266823157492,0.04291761662867579
"g37119001701",24,0.5110105580693816,0.4805710078534031,0.10150964462972582,0.033928062947159804,0.12075678218763924,0.04291761662867579
"g37119001801",24,0.6353790613718412,0.4805710078534031,0.14053796113580258,0.033928062947159804,0.1344605389424472,0.04291761662867579
"g37119005200",24,0.2706422018348624,0.4805710078534031,0.06948796366192041,0.033928062947159804,0.15608032639532893,0.04291761662867579
"g37119004900",24,0.593192868719611,0.4805710078534031,0.3008429107408213,0.033928062947159804,0.3083031473534419,0.04291761662867579
"g45057010500",25,0.5627914723517655,0.6379279758736917,0.08798567142712956,0.07024771550020095,0.09503827434934453,0.066941379018672
"g45057010600",25,0.7235294117647059,0.6379279758736917,0.11122007078899904,0.07024771550020095,0.093446077219116,0.066941379018672
"g37119005909",26,0.7111425428257111,0.6917719886510189,0.09477282053929355,0.0636947938103325,0.08101421781612116,0.0559725459162987
"g37119005914",26,0.6683750949126803,0.6917719886510189,0.08203196145132105,0.0636947938103325,0.0746099819537934,0.0559725459162987
"g37119005709",27,0.7563747228381374,0.7227191413237924,0.08048032579850255,0.05858200012125307,0.06468250291109388,0.049275238598483956
"g37119005717",27,0.7021204410517388,0.7227191413237924,0.08011648003706129,0.05858200012125307,0.06936563092394553,0.049275238598483956
"g37119002600",28,0.6240963855421687,0.7406681597611049,0.19285124167035153,0.0711281815607294,0.18784726219196082,0.05837839196474488
"g37119000500",28,0.6894157088122606,0.7406681597611049,0.10518513476966863,0.0711281815607294,0.09274858456174863,0.05837839196474488
"g37119000300",28,0.7275132275132276,0.7406681597611049,0.26713782873605124,0.0711281815607294,0.2232176828123291,0.05837839196474488
