"TID","RID","t_avgroomsE","r_avgroomsE","t_avgroomsM","r_avgroomsM","t_avgroomsCV","r_avgroomsCV"
"g37119002400",14,4.815028901734104,5.560039049788481,0.2829229837128676,0.35180454075622314,0.035719340270327776,0.03846428789328128
"g37119005839",15,6.002772643253235,5.266081871345029,0.525527238525559,0.2754361247545612,0.053220314161199975,0.03179562676799277
"g37119005831",15,4.925149700598802,5.266081871345029,0.31836349357993593,0.2754361247545612,0.03929505708768345,0.03179562676799277
"g37119005714",16,7.802824551873981,7.433272275284574,1.0380022066453736,0.22863228157268659,0.08086871321333124,0.018697847227796802
"g37179020310",16,7.88717067583047,7.433272275284574,0.5073776330038244,0.22863228157268659,0.039106070318895216,0.018697847227796802
"g37119005823",16,7.535467442706438,7.433272275284574,0.3776974788999389,0.22863228157268659,0.030469686503720915,0.018697847227796802
"g37119005712",16,6.560135135135135,7.433272275284574,0.4380488771151301,0.22863228157268659,0.04059232092370614,0.018697847227796802
"g37179020314",16,7.004310344827586,7.433272275284574,0.7005415266496935,0.22863228157268659,0.06079986314995703,0.018697847227796802
"g37179020316",16,7.249834327369118,7.433272275284574,0.5968176479929878,0.22863228157268659,0.0500434995427626,0.018697847227796802
"g37179020315",16,7.76456009913259,7.433272275284574,0.6552564086774051,0.22863228157268659,0.05130131755619083,0.018697847227796802
"g37119005835",16,7.509865005192108,7.433272275284574,0.6153409746962177,0.22863228157268659,0.049810144598177106,0.018697847227796802
"g37119005713",16,7.512345679012346,7.433272275284574,1.0686347933440925,0.22863228157268659,0.0864744571067641,0.018697847227796802
"g37097061601",17,5.119738751814223,5.6702647134412745,0.6135534026647221,0.2943923204853827,0.07285152816855726,0.03156147128852274
"g37097061403",17,6.0361596009975065,5.6702647134412745,0.6315635569218581,0.2943923204853827,0.06360488113515321,0.03156147128852274
"g37097061602",17,5.510190876738919,5.6702647134412745,0.5166336110647952,0.2943923204853827,0.056996752467419885,0.03156147128852274
"g37097061203",17,6.0602691632533645,5.6702647134412745,0.5571308191131604,0.2943923204853827,0.05588552915414482,0.03156147128852274
"g37071031201",18,5.5901106050748215,5.128437738731856,0.8273870248073626,0.24698849026165853,0.08997511342486657,0.029276942907684508
"g37071031202",18,4.6002506265664165,5.128437738731856,0.7103233913551628,0.24698849026165853,0.09386608856591751,0.029276942907684508
"g37071031101",18,5.70324846356453,5.128437738731856,0.760566796337267,0.24698849026165853,0.08106794557961758,0.029276942907684508
"g37071031004",18,4.9561688311688314,5.128437738731856,0.5226674504688581,0.24698849026165853,0.06410818189469654,0.029276942907684508
"g37071031102",18,4.913001912045889,5.128437738731856,0.6909216515376134,0.24698849026165853,0.08549012793973064,0.029276942907684508
"g37071031001",18,4.945117029862793,5.128437738731856,0.4912174210804942,0.24698849026165853,0.06038530781524919,0.029276942907684508
"g37071031302",18,5.322469135802469,5.128437738731856,0.7317433311483932,0.24698849026165853,0.08357564156499682,0.029276942907684508
"g37071032302",18,4.667582417582418,5.128437738731856,0.5397977287339945,0.24698849026165853,0.07030288628897527,0.029276942907684508
"g37119006303",19,6.445716903344022,5.875449796865931,0.5604094104827385,0.21959364066175915,0.05285283526655928,0.022720230703286253
"g37119006209",19,4.803722504230119,5.875449796865931,0.30907425500709973,0.21959364066175915,0.039112809898000374,0.022720230703286253
"g37119006407",19,7.22771474878444,5.875449796865931,0.41536653359876957,0.21959364066175915,0.03493530954278351,0.022720230703286253
"g37119006212",19,5.690404797601199,5.875449796865931,0.4088591895847731,0.21959364066175915,0.04367819665714256,0.022720230703286253
"g37119006405",19,5.786666666666667,5.875449796865931,0.6749408588778101,0.21959364066175915,0.0709041004241813,0.022720230703286253
